placement_id,placement_name,line_item_name,revenue,imps,imps_blank,imps_default_error,imps_default_bidder,size
4881533,101038_USINT_MBL_300x250_34258176_1,Resold Line Item,0.129878,205,0,0,130,300x250
9024534,101109_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.073121,45,0,0,0,320x50
4786402,101067_USINT_BTF_300x250_34258176_1M,Resold Line Item,0.000000,2,0,0,2,300x250
10118120,101820_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.004129,16,0,0,13,300x250
9023761,100990_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.003268,7,0,0,0,300x250
9016887,100878_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.004494,3,0,0,0,300x600
4448616,100306_USINT_ATF_728x90_34258176_1W,Resold Line Item,0.000000,1,0,0,0,728x90
9012188,100366_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.036809,17,0,0,0,728x90
6189698,100208_USINT_BTF_728x90_34258176_1W,Resold Line Item,0.005708,20,0,0,10,728x90
6566629,101148 Demand Fusion,Resold Line Item,0.000000,0,0,0,0,728x90
9729551,101701_USINT_BTF_300x250_34258176_2M,Resold Line Item,0.012117,65,0,0,59,300x250
9319431,700441_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.013366,4,0,0,0,728x90
6130452,101319_USINT_BTF_300x250_34258176_1M,Resold Line Item,0.000000,1,0,0,1,300x250
9026353,700060_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.028357,23,0,0,0,300x250
10854860,700208_USINT_INLINE_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,640x480
9024989,101372_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.048495,23,0,0,0,300x600
4541503,100927_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.024687,304,0,0,0,300x250
9812055,101745_USINT_ATF_728x90_34258176_2W,Resold Line Item,0.220052,1389,0,1,1248,728x90
6559823,101341 Demand Fusion,Resold Line Item,0.000215,1,0,0,0,728x90
9525283,101549_USINT_BTF_728x90_34258176_1W,Resold Line Item,0.000000,1,0,0,0,728x90
9022244,100918_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.006101,4,0,0,0,300x600
4446190,100259_USINT_ATF_728x90_34258176_1W,Resold Line Item,0.003400,6,0,0,2,728x90
9024784,101133_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.001338,1,0,0,0,728x90
8533297,101562 Demand Fusion,Resold Line Item,0.000000,0,0,0,0,320x50
11106885,101925_USINT_ATF_728x90_34258176_1,Resold Line Item,0.001900,30,0,0,27,728x90
5114418,100545_USINT_MBL_300x250_34258176_1M,Resold Line Item,0.082085,144,0,0,93,300x250
4415753,100022_USINT_ATF_728x90_ 34258176_1M,Resold Line Item,0.000000,19,0,0,0,728x90
10416797,101438_USINT_INLINE_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,1x1
4492384,100816_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.013545,39,0,0,24,300x250
4541116,100842_USINT_BTF_300x250_34258176_2M,Resold Line Item,0.000000,1,0,0,1,300x250
10918357,101903_USINT_ATF_300x250_34258176_1,Resold Line Item,0.014189,53,0,0,45,300x250
9011939,100197_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,160x600
9875362,101761_USINT_BTF_300x250_34258176_1M,Resold Line Item,0.036068,1186,0,0,1147,300x250
9729596,101701_USINT_ATF_728x90_34258176_1M,Resold Line Item,0.000809,1,0,0,0,728x90
11323466,101120_USINT_INLINE_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,1x1
9025162,101541_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,300x250
7049657,101458_USINT_ATF_300x250_34258176_1W,Resold Line Item,0.001683,4,0,0,3,300x250
5106922,100869_USINT_BTF_300x250_34258176_2W,Resold Line Item,0.010583,16,0,0,7,300x250
4637446,101044_USINT_ATF_160x600_34258176_1M,Resold Line Item,0.008387,119,0,0,109,160x600
4439384,100235_USINT_BTF_300x250_34258176_3W,Resold Line Item,0.006166,70,0,0,61,300x250
9522258,101682_USINT_BTF_300x250_34258176_2W,Resold Line Item,0.000000,6,0,0,6,300x250
9812259,101738_USINT_ATF_300x250_34258176_1W,Resold Line Item,0.004215,21,0,0,17,300x250
9024427,101342_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.044226,27,0,0,0,300x250
10713579,101881_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,160x600
9022244,100918_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.001480,1,0,0,0,300x250
6701017,101425_USINT_BTF_300x250_34258176_3M,Resold Line Item,0.011933,143,0,0,134,300x250
